brand,buttons,color,ctype,dpi,model,name,price,rating,reviews,style
Corsair,6,Black,Wired / Wireless,10000 dpi,CH-9311011-NA,HARPOON,49.99,4,83,Claw
UtechSmart,19,Black,Wired,16400 dpi,US-D16400-GM,Venus,29.99,4,242,
Sades,6,Pink,Wired,3200dpi,,,18.49,4,4,Palm
AULA,7,Black,Wired,6400 dpi,F805,Wired Gaming Mouse,14.99,4,2,
RAZER,7,Black,Wired,16000 dpi,RZ01-02010100-R3U1,DeathAdder Elite,30.99,4,642,
RAZER,5,Black/Blue,Wired,3500 dpi,DeathAdder,Razer DeathAdder Optical PC Gaming Mouse,25.96,4,14,
MSI,6,Black,Wired,6400 dpi,S12-0400D00-C54,Clutch GM20 ELITE,39.99,5,1,
Corsair,8,Black,Wired,18000 dpi,CH-9306011-NA,NIGHTSWORD RGB,77.99,4,11,
ASUS,7,Black,Wired,12000 dpi,90MP00R0-B0UA00,ROG Gladius II Aura,55.99,4,156,All
ASUS,9 (5 + 4 in digital joystick mode),Black,Wired,16000 dpi,90MP01T0-BMUA00,ROG Chakram Core,96.78,NA,0,Palm / Fingertip
RajFoo,6,Black,Wired,3200 dpi,X6,Mad scorpion,18.99,NA,0,All
LUOM,6,Black,Wired,3200 dpi,X5,X5,13.99,NA,0,All
Logitech,6,Black,Wired / Wireless,12000 dpi,910-004797,G403 Prodigy,199.99,NA,0,All
ROCCAT,12,Gray,Wired,12000 dpi,ROC-11-815-GY,Kone AIMO,124.0,5,7,
,6,Black,RF Wireless,2400 dpi,,,14.99,NA,0,
ASUS,6,Black,Wired,12000 dpi,90MP00U2-B0AA00,P504 ROG GLADIUS II ORIGIN COD,95.99,3,2,
Corsair,8,Black,Wired,12000 dpi,CH-9300011-NA,M65 PRO RGB FPS,78.39,4,200,"Brand new unopened brand new product, the packaging is simple. Not the same as the picture."
COOLER MASTER,8,Black,Wired,24000 dpi,MM-830-GKOF1-US,MM830 Gaming Mouse,68.95,4,54,Palm / Claw
Corsair,6,Black,Wired,16000 dpi,CH-9302011-NA,GLAIVE RGB,104.98,4,91,Palm
Logitech,6,Black,Wired / Wireless,12000 dpi,910-004797,G403 Prodigy,189.23,4,333,All
Logitech,6,Black,Lightspeed Wireless,16000 dpi,910-005638,G703,84.98,4,145,
Corsair,7,Black,Wired,18000 dpi,CH-9302211-NA,GLAIVE,86.0,4,91,Adjustable
Corsair,6,Aluminum,Wired,16000 dpi,CH-9302111-NA,GLAIVE RGB,95.0,4,91,Adjustable
UtechSmart,12,Black,Wired,16400 dpi,US-D16400,,29.99,5,4,Adjustable
Logitech,11,Black,Wired,12000 dpi,910-004615,G502,86.86,4,261,Fingertip
PATRiOT,13,Black,Wired,12000 dpi,PV570LUXWK,Viper V570,57.31,4,18,
Corsair,6,Black,Wired,6000 dpi,CH-9301011-NA,HARPOON RGB,43.5,4,83,
Wicked Bunny,,,Wired,16000 dpi,,Rapid RGB,54.99,5,1,Claw / Fingertip
Logitech,20,Black,Wired,8200 dpi,910-002864,G600,55.75,4,315,
RAZER,11,No,Wired,,RZ01-03160100-R3U1,Razer Basilisk v2,92.76,4,642,
